date,home_team,away_team,home_score,away_score,home_win
2023-10-10,Tampa Bay,Nashville,5,3,1
2023-10-10,Pittsburgh,Chicago,2,4,0
2023-10-10,Vegas,Seattle,4,1,1
2023-10-11,Carolina,Ottawa,5,3,1
2023-10-11,Toronto,Montréal,6,5,1
2023-10-11,Boston,Chicago,3,1,1
2023-10-11,Calgary,Winnipeg,5,3,1
2023-10-11,Los Angeles,Colorado,2,5,0
2023-10-11,Vancouver,Edmonton,8,1,1
2023-10-12,Buffalo,New York,1,5,0
2023-10-12,Columbus,Philadelphia,2,4,0
2023-10-12,New Jersey,Detroit,4,3,1
2023-10-12,Dallas,St. Louis,2,1,1
2023-10-12,Minnesota,Florida,2,0,1
2023-10-12,Nashville,Seattle,3,0,1
2023-10-12,San Jose,Vegas,1,4,0
2023-10-13,New Jersey,Arizona,3,4,0
2023-10-13,Washington,Pittsburgh,0,4,0
2023-10-14,Ottawa,Philadelphia,5,2,1
2023-10-14,Winnipeg,Florida,6,4,1
2023-10-14,Boston,Nashville,3,2,1
2023-10-14,Columbus,New York,5,3,1
2023-10-14,Detroit,Tampa Bay,6,4,1
2023-10-14,Montréal,Chicago,3,2,1
2023-10-14,Pittsburgh,Calgary,5,2,1
2023-10-14,Toronto,Minnesota,7,4,1
2023-10-14,New York,Buffalo,3,2,1
2023-10-14,St. Louis,Seattle,2,1,1
2023-10-14,Edmonton,Vancouver,3,4,0
2023-10-14,San Jose,Colorado,1,2,0
2023-10-14,Vegas,Anaheim,4,1,1
2023-10-14,Los Angeles,Carolina,5,6,0
2023-10-15,Ottawa,Tampa Bay,5,2,1
2023-10-15,Anaheim,Carolina,6,3,1
2023-10-16,Columbus,Detroit,0,4,0
2023-10-16,New Jersey,Florida,3,4,0
2023-10-16,New York,Arizona,2,1,1
2023-10-16,Toronto,Chicago,1,4,0
2023-10-16,Washington,Calgary,3,2,1
2023-10-17,Philadelphia,Vancouver,2,0,1
2023-10-17,Montréal,Minnesota,2,5,0
2023-10-17,Buffalo,Tampa Bay,3,2,1
2023-10-17,New York,Arizona,1,0,1
2023-10-17,Nashville,Edmonton,1,6,0
2023-10-17,Winnipeg,Los Angeles,1,5,0
2023-10-17,Seattle,Colorado,1,4,0
2023-10-17,San Jose,Carolina,3,6,0
2023-10-17,Vegas,Dallas,3,2,1
2023-10-18,Ottawa,Washington,6,1,1
2023-10-18,Detroit,Pittsburgh,6,3,1
2023-10-19,Buffalo,Calgary,3,4,0
2023-10-19,Florida,Toronto,3,1,1
2023-10-19,New York,Nashville,1,4,0
2023-10-19,Tampa Bay,Vancouver,4,3,1
2023-10-19,Philadelphia,Edmonton,4,1,1
2023-10-19,Minnesota,Los Angeles,3,7,0
2023-10-19,St. Louis,Arizona,2,6,0
2023-10-19,Winnipeg,Vegas,3,5,0
2023-10-19,Anaheim,Dallas,2,3,0
2023-10-19,Seattle,Carolina,7,4,1
2023-10-19,Colorado,Chicago,4,0,1
2023-10-19,San Jose,Boston,1,3,0
2023-10-20,Columbus,Calgary,3,1,1
2023-10-20,New York,New Jersey,4,5,0
2023-10-21,Ottawa,Detroit,2,5,0
2023-10-21,Arizona,Anaheim,2,1,1
2023-10-21,Buffalo,New York,3,1,1
2023-10-21,Florida,Vancouver,3,5,0
2023-10-21,Montréal,Washington,3,2,1
2023-10-21,Tampa Bay,Toronto,3,4,0
2023-10-21,Chicago,Vegas,3,5,0
2023-10-21,Dallas,Philadelphia,5,4,1
2023-10-21,Minnesota,Columbus,4,5,0
2023-10-21,Nashville,San Jose,5,1,1
2023-10-21,St. Louis,Pittsburgh,4,2,1
2023-10-21,Colorado,Carolina,6,4,1
2023-10-21,Edmonton,Winnipeg,2,3,0
2023-10-21,Seattle,New York,1,4,0
2023-10-21,Los Angeles,Boston,2,4,0
2023-10-22,Detroit,Calgary,6,2,1
2023-10-22,Anaheim,Boston,1,3,0
2023-10-23,Buffalo,Montréal,1,3,0
2023-10-24,Washington,Toronto,1,4,0
2023-10-24,Ottawa,Buffalo,4,6,0
2023-10-24,Tampa Bay,Carolina,3,0,1
2023-10-24,Montréal,New Jersey,2,5,0
2023-10-24,Pittsburgh,Dallas,1,4,0
2023-10-24,Florida,San Jose,3,1,1
2023-10-24,New York,Colorado,4,7,0
2023-10-24,Detroit,Seattle,4,5,0
2023-10-24,Columbus,Anaheim,2,3,0
2023-10-24,Chicago,Boston,0,3,0
2023-10-24,Winnipeg,St. Louis,4,2,1
2023-10-24,Minnesota,Edmonton,7,4,1
2023-10-24,Nashville,Vancouver,2,3,0
2023-10-24,Calgary,New York,1,3,0
2023-10-24,Los Angeles,Arizona,6,3,1
2023-10-24,Vegas,Philadelphia,3,2,1
2023-10-25,New Jersey,Washington,4,6,0
2023-10-26,Boston,Anaheim,3,4,0
2023-10-26,Carolina,Seattle,3,2,1
2023-10-26,Detroit,Winnipeg,1,4,0
2023-10-26,Montréal,Columbus,4,3,1
2023-10-26,Pittsburgh,Colorado,4,0,1
2023-10-26,Tampa Bay,San Jose,6,0,1
2023-10-26,Philadelphia,Minnesota,6,2,1
2023-10-26,New York,Ottawa,3,2,1
2023-10-26,Dallas,Toronto,1,4,0
2023-10-26,Calgary,St. Louis,0,3,0
2023-10-26,Edmonton,New York,0,3,0
2023-10-27,Vegas,Chicago,3,4,0
2023-10-27,Carolina,San Jose,3,0,1
2023-10-27,New Jersey,Buffalo,5,4,1
2023-10-27,Washington,Minnesota,3,2,1
2023-10-27,Arizona,Los Angeles,4,5,0
2023-10-27,Vancouver,St. Louis,5,0,1
2023-10-28,Philadelphia,Anaheim,4,7,0
2023-10-28,Florida,Seattle,3,2,1
2023-10-28,Boston,Detroit,4,1,1
2023-10-28,Columbus,New York,0,2,0
2023-10-28,Montréal,Winnipeg,4,3,1
2023-10-28,Nashville,Toronto,3,2,1
2023-10-28,Pittsburgh,Ottawa,2,5,0
2023-10-28,Vancouver,New York,3,4,0
2023-10-28,Los Angeles,Vegas,3,4,0
2023-10-29,Buffalo,Colorado,4,0,1
2023-10-29,New Jersey,Minnesota,4,3,1
2023-10-29,Washington,San Jose,3,1,1
2023-10-29,Edmonton,Calgary,5,2,1
2023-10-30,Boston,Florida,3,2,1
2023-10-30,Philadelphia,Carolina,2,3,0
2023-10-30,Pittsburgh,Anaheim,3,4,0
2023-10-30,Tampa Bay,Seattle,3,4,0
2023-10-30,New York,Detroit,3,4,0
2023-10-30,Winnipeg,New York,2,3,0
2023-10-30,Dallas,Columbus,5,3,1
2023-10-30,Arizona,Chicago,8,1,1
2023-10-30,Vegas,Montréal,3,2,1
2023-10-31,Toronto,Los Angeles,1,4,0
2023-10-31,Vancouver,Nashville,5,2,1
2023-11-01,Philadelphia,Buffalo,2,5,0
2023-11-01,Calgary,Dallas,3,4,0
2023-11-01,Colorado,St. Louis,4,1,1
2023-11-01,Anaheim,Arizona,4,3,1
2023-11-02,Columbus,Tampa Bay,4,2,1
2023-11-02,Detroit,Florida,0,2,0
2023-11-02,New York,Carolina,2,1,1
2023-11-02,Ottawa,Los Angeles,2,3,0
2023-11-02,Washington,New York,0,3,0
2023-11-02,Boston,Toronto,3,2,1
2023-11-02,Minnesota,New Jersey,3,5,0
2023-11-02,Edmonton,Dallas,3,4,0
2023-11-02,Arizona,Montréal,3,2,1
2023-11-02,Seattle,Nashville,4,2,1
2023-11-02,Vegas,Winnipeg,5,2,1
2023-11-02,San Jose,Vancouver,1,10,0
2023-11-03,Buffalo,Philadelphia,1,5,0
2023-11-03,St. Louis,New Jersey,4,1,1
2023-11-04,Edmonton,Nashville,2,5,0
2023-11-04,Arizona,Winnipeg,3,5,0
2023-11-04,Detroit,Boston,5,4,1
2023-11-04,Ottawa,Tampa Bay,4,6,0
2023-11-04,St. Louis,Montréal,6,3,1
2023-11-04,Toronto,Buffalo,4,6,0
2023-11-04,Washington,Columbus,2,1,1
2023-11-04,Philadelphia,Los Angeles,0,5,0
2023-11-04,New York,Carolina,3,4,0
2023-11-04,Chicago,Florida,5,2,1
2023-11-04,Minnesota,New York,5,4,1
2023-11-04,Seattle,Calgary,3,6,0
2023-11-04,San Jose,Pittsburgh,2,10,0
2023-11-04,Vancouver,Dallas,2,0,1
2023-11-04,Vegas,Colorado,7,0,1
2023-11-05,Chicago,New Jersey,2,4,0
2023-11-05,Anaheim,Vegas,4,2,1
2023-11-06,Florida,Columbus,5,4,1
2023-11-06,Toronto,Tampa Bay,6,5,1
2023-11-06,Dallas,Boston,2,3,0
2023-11-06,Vancouver,Edmonton,6,2,1
2023-11-07,Carolina,Buffalo,3,2,1
2023-11-07,Montréal,Tampa Bay,3,5,0
2023-11-07,New York,Minnesota,2,4,0
2023-11-07,New York,Detroit,5,3,1
2023-11-07,St. Louis,Winnipeg,2,5,0
2023-11-07,Arizona,Seattle,4,3,1
2023-11-07,Calgary,Nashville,4,2,1
2023-11-07,Anaheim,Pittsburgh,0,2,0
2023-11-07,Colorado,New Jersey,6,3,1
2023-11-07,San Jose,Philadelphia,2,1,1
2023-11-08,Toronto,Ottawa,3,6,0
2023-11-08,Washington,Florida,3,4,0
2023-11-08,Vegas,Los Angeles,1,4,0
2023-11-09,Boston,New York,5,2,1
2023-11-09,Detroit,Montréal,2,3,0
2023-11-09,New York,Minnesota,4,1,1
2023-11-09,Ottawa,Vancouver,2,5,0
2023-11-09,Tampa Bay,Chicago,3,5,0
2023-11-09,Columbus,Dallas,2,5,0
2023-11-09,St. Louis,Arizona,2,1,1
2023-11-09,Winnipeg,Nashville,6,3,1
2023-11-09,Colorado,Seattle,3,4,0
2023-11-09,Los Angeles,Pittsburgh,3,4,0
2023-11-09,San Jose,Edmonton,3,2,1
2023-11-10,Buffalo,Minnesota,3,2,1
2023-11-10,Florida,Carolina,5,2,1
2023-11-10,New Jersey,Washington,2,4,0
2023-11-10,Toronto,Calgary,5,4,1
2023-11-10,Anaheim,Philadelphia,3,6,0
2023-11-10,Vegas,San Jose,5,0,1
2023-11-11,Detroit,Columbus,5,4,1
2023-11-11,Winnipeg,Dallas,2,3,0
2023-11-11,Montréal,Boston,3,2,1
2023-11-11,Ottawa,Calgary,4,1,1
2023-11-11,Tampa Bay,Carolina,0,4,0
2023-11-11,Toronto,Vancouver,5,2,1
2023-11-11,New York,Washington,1,4,0
2023-11-11,Pittsburgh,Buffalo,4,0,1
2023-11-11,Nashville,Arizona,5,7,0
2023-11-11,Colorado,St. Louis,2,8,0
2023-11-11,Seattle,Edmonton,1,4,0
2023-11-11,Los Angeles,Philadelphia,2,4,0
2023-11-12,Florida,Chicago,4,3,1
2023-11-12,Minnesota,Dallas,3,8,0
2023-11-12,Montréal,Vancouver,2,5,0
2023-11-12,New York,Columbus,4,3,1
2023-11-12,Anaheim,San Jose,4,1,1
2023-11-13,Edmonton,New York,4,1,1
2023-11-13,Seattle,Colorado,1,5,0
2023-11-14,Buffalo,Boston,2,5,0
2023-11-14,Columbus,Pittsburgh,3,5,0
2023-11-14,Montréal,Calgary,1,2,0
2023-11-14,Washington,Vegas,3,0,1
2023-11-14,Dallas,Arizona,4,3,1
2023-11-14,Nashville,Anaheim,2,3,0
2023-11-14,St. Louis,Tampa Bay,5,0,1
2023-11-14,Winnipeg,New Jersey,6,3,1
2023-11-14,San Jose,Florida,3,5,0
2023-11-15,Carolina,Philadelphia,1,3,0
2023-11-15,Edmonton,Seattle,4,3,1
2023-11-15,Colorado,Anaheim,8,2,1
2023-11-15,Vancouver,New York,4,3,1
2023-11-16,Ottawa,Detroit,5,4,1
2023-11-16,Columbus,Arizona,2,3,0
2023-11-16,Montréal,Vegas,5,6,0
2023-11-16,Pittsburgh,New Jersey,2,5,0
2023-11-16,Chicago,Tampa Bay,2,4,0
2023-11-16,Calgary,Vancouver,5,2,1
2023-11-16,Seattle,New York,4,3,1
2023-11-16,Los Angeles,Florida,2,1,1
2023-11-16,San Jose,St. Louis,5,1,1
2023-11-17,Detroit,Toronto,2,3,0
2023-11-17,Winnipeg,Buffalo,3,2,1
2023-11-17,Anaheim,Florida,1,2,0
2023-11-18,Ottawa,Minnesota,2,1,1
2023-11-18,Philadelphia,Vegas,4,3,1
2023-11-18,Nashville,Chicago,4,2,1
2023-11-18,Tampa Bay,Edmonton,6,4,1
2023-11-18,Boston,Montréal,5,2,1
2023-11-18,Carolina,Pittsburgh,4,2,1
2023-11-18,Calgary,New York,4,5,0
2023-11-18,New Jersey,New York,3,5,0
2023-11-18,Winnipeg,Arizona,5,2,1
2023-11-18,Washington,Columbus,4,3,1
2023-11-18,Dallas,Colorado,3,6,0
2023-11-18,Vancouver,Seattle,3,4,0
2023-11-18,Los Angeles,St. Louis,5,1,1
2023-11-19,Minnesota,Toronto,3,4,0
2023-11-19,Philadelphia,Columbus,5,2,1
2023-11-19,Pittsburgh,Vegas,3,0,1
2023-11-19,Chicago,Buffalo,2,3,0
2023-11-19,Anaheim,St. Louis,1,3,0
2023-11-20,Florida,Edmonton,5,3,1
2023-11-20,Tampa Bay,Boston,5,4,1
2023-11-20,Dallas,New York,6,3,1
2023-11-20,Nashville,Colorado,4,3,1
2023-11-20,Arizona,Los Angeles,1,4,0
2023-11-20,Seattle,Calgary,3,4,0
2023-11-20,Vancouver,San Jose,3,1,1
2023-11-22,Carolina,Edmonton,6,3,1
2023-11-22,Columbus,Chicago,7,3,1
2023-11-22,Detroit,New Jersey,4,0,1
2023-11-22,Florida,Boston,1,3,0
2023-11-22,Pittsburgh,New York,0,1,0
2023-11-22,Tampa Bay,Winnipeg,2,3,0
2023-11-22,Washington,Buffalo,4,3,1
2023-11-22,New York,Philadelphia,3,2,1
2023-11-22,Arizona,St. Louis,5,6,0
2023-11-22,Nashville,Calgary,4,2,1
2023-11-22,Dallas,Vegas,1,2,0
2023-11-22,Anaheim,Montréal,3,4,0
2023-11-22,Colorado,Vancouver,5,2,1
2023-11-22,Seattle,San Jose,7,1,1
2023-11-24,Boston,Detroit,2,5,0
2023-11-24,Philadelphia,New York,1,3,0
2023-11-24,Chicago,Toronto,4,3,1
2023-11-24,New Jersey,Columbus,1,2,0
2023-11-24,St. Louis,Nashville,3,8,0
2023-11-24,Washington,Edmonton,0,5,0
2023-11-24,Anaheim,Los Angeles,2,5,0
2023-11-24,San Jose,Montréal,2,3,0
2023-11-24,Buffalo,Pittsburgh,3,2,1
2023-11-24,Ottawa,New York,3,5,0
2023-11-24,Carolina,Tampa Bay,2,8,0
2023-11-24,Florida,Winnipeg,0,3,0
2023-11-24,Dallas,Calgary,4,7,0
2023-11-24,Minnesota,Colorado,2,3,0
2023-11-24,Seattle,Vancouver,1,5,0
2023-11-25,New York,Boston,7,4,1
2023-11-25,Los Angeles,Montréal,4,0,1
2023-11-25,New Jersey,Buffalo,7,2,1
2023-11-25,Pittsburgh,Toronto,3,2,1
2023-11-25,New York,Philadelphia,0,1,0
2023-11-25,Colorado,Calgary,3,1,1
2023-11-25,San Jose,Vancouver,4,3,1
2023-11-25,Vegas,Arizona,0,2,0
2023-11-26,Detroit,Minnesota,4,1,1
2023-11-26,Chicago,St. Louis,2,4,0
2023-11-26,Carolina,Columbus,3,2,1
2023-11-26,Nashville,Winnipeg,3,2,1
2023-11-26,Edmonton,Anaheim,8,2,1
2023-11-27,Columbus,Boston,5,2,1
2023-11-27,New York,Buffalo,1,5,0
2023-11-27,Ottawa,Florida,0,5,0
2023-11-27,Colorado,Tampa Bay,4,1,1
2023-11-27,Calgary,Vegas,2,1,1
2023-11-27,San Jose,Washington,2,1,1
2023-11-28,New Jersey,New York,5,4,1
2023-11-28,Toronto,Florida,2,1,1
2023-11-28,Philadelphia,Carolina,1,4,0
2023-11-28,Minnesota,St. Louis,3,1,1
2023-11-28,Nashville,Pittsburgh,3,2,1
2023-11-28,Winnipeg,Dallas,0,2,0
2023-11-28,Chicago,Seattle,4,3,1
2023-11-28,Arizona,Tampa Bay,3,1,1
2023-11-28,Edmonton,Vegas,5,4,1
2023-11-28,Vancouver,Anaheim,3,1,1
2023-11-29,Columbus,Montréal,2,4,0
2023-11-29,New York,Detroit,3,2,1
2023-11-29,Los Angeles,Washington,1,2,0
2023-11-30,Boston,San Jose,3,0,1
2023-11-30,Detroit,Chicago,5,1,1
2023-11-30,Montréal,Florida,1,5,0
2023-11-30,Philadelphia,New Jersey,3,4,0
2023-11-30,Tampa Bay,Pittsburgh,2,4,0
2023-11-30,Toronto,Seattle,4,3,1
2023-11-30,Carolina,New York,4,5,0
2023-11-30,Nashville,Minnesota,1,6,0
2023-11-30,St. Louis,Buffalo,6,4,1
2023-11-30,Winnipeg,Edmonton,1,3,0
2023-11-30,Arizona,Colorado,4,3,1
2023-11-30,Calgary,Dallas,4,3,1
2023-11-30,Anaheim,Washington,4,5,0
2023-11-30,Vancouver,Vegas,1,4,0
2023-12-01,Columbus,Ottawa,4,2,1
2023-12-01,New Jersey,San Jose,3,6,0
2023-12-02,Dallas,Tampa Bay,8,1,1
2023-12-02,Winnipeg,Chicago,3,1,1
2023-12-02,Nashville,New York,3,4,0
2023-12-02,Florida,New York,3,4,0
2023-12-02,Carolina,Buffalo,6,2,1
2023-12-02,Montréal,Detroit,4,5,0
2023-12-02,Ottawa,Seattle,2,0,1
2023-12-02,Pittsburgh,Philadelphia,3,4,0
2023-12-02,Toronto,Boston,3,4,0
2023-12-02,Arizona,St. Louis,4,1,1
2023-12-02,Anaheim,Colorado,4,3,1
2023-12-02,Calgary,Vancouver,3,4,0
2023-12-02,Vegas,Washington,4,1,1
2023-12-03,Minnesota,Chicago,4,1,1
2023-12-03,New York,San Jose,6,5,1
2023-12-03,Boston,Columbus,3,1,1
2023-12-03,Buffalo,Nashville,1,2,0
2023-12-03,Los Angeles,Colorado,4,1,1
2023-12-04,Philadelphia,Pittsburgh,2,1,1
2023-12-04,Tampa Bay,Dallas,4,0,1
2023-12-04,Montréal,Seattle,4,2,1
2023-12-04,Winnipeg,Carolina,2,1,1
2023-12-04,Arizona,Washington,6,0,1
2023-12-04,Vegas,St. Louis,1,2,0
2023-12-05,Columbus,Los Angeles,3,4,0
2023-12-05,Ottawa,New York,6,2,1
2023-12-05,Buffalo,Detroit,3,5,0
2023-12-05,New York,San Jose,4,5,0
2023-12-05,Chicago,Nashville,3,4,0
2023-12-05,Calgary,Minnesota,2,5,0
2023-12-05,Colorado,Anaheim,3,2,1
2023-12-05,Vancouver,New Jersey,5,6,0
2023-12-06,Florida,Dallas,5,4,1
2023-12-06,Tampa Bay,Pittsburgh,3,1,1
2023-12-06,St. Louis,Vegas,3,6,0
2023-12-06,Edmonton,Carolina,6,1,1
2023-12-07,Boston,Buffalo,1,3,0
2023-12-07,Detroit,San Jose,5,6,0
2023-12-07,Montréal,Los Angeles,0,4,0
2023-12-07,Ottawa,Toronto,3,4,0
2023-12-07,New York,Columbus,7,3,1
2023-12-07,Washington,Dallas,4,5,0
2023-12-07,Nashville,Tampa Bay,5,1,1
2023-12-07,Chicago,Anaheim,1,0,1
2023-12-07,Arizona,Philadelphia,1,4,0
2023-12-07,Calgary,Carolina,3,2,1
2023-12-07,Colorado,Winnipeg,2,4,0
2023-12-07,Vancouver,Minnesota,2,0,1
2023-12-07,Seattle,New Jersey,1,2,0
2023-12-08,Columbus,St. Louis,5,2,1
2023-12-08,Florida,Pittsburgh,3,1,1
2023-12-08,Edmonton,Minnesota,4,3,1
2023-12-09,Boston,Arizona,5,3,1
2023-12-09,Calgary,New Jersey,2,4,0
2023-12-09,Dallas,Vegas,1,6,0
2023-12-09,Buffalo,Montréal,2,3,0
2023-12-09,Detroit,Ottawa,1,5,0
2023-12-09,Toronto,Nashville,4,0,1
2023-12-09,Washington,New York,4,0,1
2023-12-09,New York,Los Angeles,3,2,1
2023-12-09,Chicago,St. Louis,3,1,1
2023-12-09,Colorado,Philadelphia,2,5,0
2023-12-09,Seattle,Tampa Bay,3,4,0
2023-12-09,Vancouver,Carolina,4,3,1
2023-12-10,Columbus,Florida,2,5,0
2023-12-10,Edmonton,New Jersey,4,1,1
2023-12-10,Chicago,Washington,2,4,0
2023-12-10,Montréal,Nashville,1,2,0
2023-12-10,New York,Los Angeles,4,1,1
2023-12-10,Anaheim,Winnipeg,2,4,0
2023-12-10,Seattle,Minnesota,0,3,0
2023-12-10,Vegas,San Jose,5,4,1
2023-12-11,Buffalo,Arizona,5,2,1
2023-12-11,New York,Toronto,4,3,1
2023-12-11,Dallas,Detroit,6,3,1
2023-12-11,Colorado,Calgary,6,5,1
2023-12-12,New York,Toronto,3,7,0
2023-12-12,Ottawa,Carolina,1,4,0
2023-12-12,Pittsburgh,Arizona,4,2,1
2023-12-12,St. Louis,Detroit,4,6,0
2023-12-12,Nashville,Philadelphia,3,2,1
2023-12-12,Edmonton,Chicago,4,1,1
2023-12-12,Seattle,Florida,4,0,1
2023-12-12,Vancouver,Tampa Bay,4,1,1
2023-12-12,Vegas,Calgary,5,4,1
2023-12-12,San Jose,Winnipeg,2,1,1
2023-12-13,Montréal,Pittsburgh,3,4,0
2023-12-13,New Jersey,Boston,2,1,1
2023-12-13,New York,Anaheim,4,3,1
2023-12-13,Colorado,Buffalo,5,1,1
2023-12-13,Los Angeles,Winnipeg,2,5,0
2023-12-14,Philadelphia,Washington,4,3,1
2023-12-14,Toronto,Columbus,5,6,0
2023-12-14,Detroit,Carolina,1,2,0
2023-12-14,Minnesota,Calgary,3,2,1
2023-12-14,St. Louis,Ottawa,4,2,1
2023-12-14,Edmonton,Tampa Bay,4,7,0
2023-12-14,Seattle,Chicago,7,1,1
2023-12-14,Vancouver,Florida,4,0,1
2023-12-15,New York,Anaheim,5,1,1
2023-12-15,Carolina,Nashville,5,6,0
2023-12-15,New York,Boston,4,5,0
2023-12-15,Dallas,Ottawa,5,4,1
2023-12-15,Arizona,San Jose,1,0,1
2023-12-15,Vegas,Buffalo,2,5,0
2023-12-16,Minnesota,Vancouver,2,1,1
2023-12-16,Boston,New York,1,2,0
2023-12-16,Columbus,New Jersey,3,6,0
2023-12-16,Montréal,New York,5,3,1
2023-12-16,Philadelphia,Detroit,1,0,1
2023-12-16,Toronto,Pittsburgh,7,0,1
2023-12-16,Winnipeg,Colorado,6,2,1
2023-12-16,Nashville,Washington,3,1,1
2023-12-16,St. Louis,Dallas,4,3,1
2023-12-16,Arizona,Buffalo,2,0,1
2023-12-16,Calgary,Tampa Bay,4,2,1
2023-12-16,Edmonton,Florida,1,5,0
2023-12-16,Seattle,Los Angeles,2,3,0
2023-12-17,Chicago,Vancouver,3,4,0
2023-12-17,Carolina,Washington,1,2,0
2023-12-17,New Jersey,Anaheim,1,5,0
2023-12-17,Colorado,San Jose,6,2,1
2023-12-17,Vegas,Ottawa,6,3,1
2023-12-18,Detroit,Anaheim,3,4,0
2023-12-18,Pittsburgh,Minnesota,4,3,1
2023-12-18,Winnipeg,Montréal,2,3,0
2023-12-18,Dallas,Seattle,4,3,1
2023-12-18,Calgary,Florida,3,1,1
2023-12-19,Boston,Minnesota,3,4,0
2023-12-19,Buffalo,Columbus,4,9,0
2023-12-19,Carolina,Vegas,6,3,1
2023-12-19,New Jersey,Philadelphia,2,3,0
2023-12-19,Tampa Bay,St. Louis,6,1,1
2023-12-19,Toronto,New York,2,5,0
2023-12-19,New York,Edmonton,3,1,1
2023-12-19,Nashville,Vancouver,2,5,0
2023-12-19,Chicago,Colorado,3,2,1
2023-12-19,Arizona,Ottawa,4,3,1
2023-12-19,San Jose,Los Angeles,1,4,0
2023-12-20,Winnipeg,Detroit,5,2,1
2023-12-20,Washington,New York,3,2,1
2023-12-20,Los Angeles,Seattle,1,2,0
2023-12-21,Buffalo,Toronto,9,3,1
2023-12-21,Columbus,Washington,2,3,0
2023-12-21,Florida,St. Louis,1,4,0
2023-12-21,Philadelphia,Nashville,2,4,0
2023-12-21,Pittsburgh,Carolina,2,1,1
2023-12-21,Tampa Bay,Vegas,5,4,1
2023-12-21,New Jersey,Edmonton,3,6,0
2023-12-21,Dallas,Vancouver,4,3,1
2023-12-21,Minnesota,Montréal,4,3,1
2023-12-21,Colorado,Ottawa,6,4,1
2023-12-21,Anaheim,Calgary,0,3,0
2023-12-21,San Jose,Arizona,2,5,0
2023-12-22,Detroit,Philadelphia,7,6,1
2023-12-22,New York,Edmonton,3,4,0
2023-12-22,Winnipeg,Boston,5,1,1
2023-12-22,Chicago,Montréal,2,5,0
2023-12-23,Nashville,Dallas,2,3,0
2023-12-23,Florida,Vegas,4,2,1
2023-12-23,Columbus,Toronto,1,4,0
2023-12-23,Minnesota,Boston,3,2,1
2023-12-23,New Jersey,Detroit,3,2,1
2023-12-23,Ottawa,Pittsburgh,5,4,1
2023-12-23,Washington,Tampa Bay,1,2,0
2023-12-23,Carolina,New York,4,5,0
2023-12-23,New York,Buffalo,4,3,1
2023-12-23,Anaheim,Seattle,2,3,0
2023-12-23,St. Louis,Chicago,7,5,1
2023-12-23,Colorado,Arizona,4,1,1
2023-12-23,Los Angeles,Calgary,5,3,1
2023-12-23,Vancouver,San Jose,7,4,1
2023-12-27,New Jersey,Columbus,4,3,1
2023-12-27,New York,Washington,5,1,1
2023-12-27,Tampa Bay,Florida,2,3,0
2023-12-27,Toronto,Ottawa,2,4,0
2023-12-27,Buffalo,Boston,1,4,0
2023-12-27,New York,Pittsburgh,0,7,0
2023-12-27,Minnesota,Detroit,6,3,1
2023-12-27,Nashville,Carolina,2,5,0
2023-12-27,St. Louis,Dallas,2,1,1
2023-12-27,Arizona,Colorado,5,4,1
2023-12-27,Chicago,Winnipeg,2,1,1
2023-12-27,Calgary,Seattle,1,2,0
2023-12-27,Anaheim,Vegas,5,2,1
2023-12-27,Los Angeles,San Jose,5,1,1
2023-12-28,Carolina,Montréal,5,3,1
2023-12-28,Vancouver,Philadelphia,1,4,0
2023-12-28,Vegas,Los Angeles,3,2,1
2023-12-28,San Jose,Edmonton,0,5,0
2023-12-29,Columbus,Toronto,6,5,1
2023-12-29,Detroit,Nashville,5,4,1
2023-12-29,Florida,New York,4,3,1
2023-12-29,Ottawa,New Jersey,2,6,0
2023-12-29,New York,Washington,5,1,1
2023-12-29,Dallas,Chicago,5,4,1
2023-12-29,St. Louis,Colorado,1,2,0
2023-12-29,Anaheim,Arizona,0,2,0
2023-12-29,Seattle,Philadelphia,2,1,1
2023-12-30,Winnipeg,Minnesota,4,2,1
2023-12-30,Buffalo,Columbus,3,2,1
2023-12-30,Boston,New Jersey,5,2,1
2023-12-30,Florida,Montréal,4,1,1
2023-12-30,Pittsburgh,St. Louis,4,2,1
2023-12-30,Tampa Bay,New York,1,5,0
2023-12-30,Toronto,Carolina,2,3,0
2023-12-30,Washington,Nashville,2,3,0
2023-12-30,Los Angeles,Edmonton,2,3,0
2023-12-31,Minnesota,Winnipeg,2,3,0
2023-12-31,Detroit,Boston,3,5,0
2023-12-31,Ottawa,Buffalo,5,1,1
2023-12-31,Pittsburgh,New York,3,1,1
2023-12-31,Tampa Bay,Montréal,4,3,1
2023-12-31,Anaheim,Edmonton,2,7,0
2023-12-31,Calgary,Philadelphia,4,3,1
2023-12-31,Colorado,San Jose,3,1,1
2023-12-31,Dallas,Chicago,8,1,1
2024-01-01,Seattle,Vegas,3,0,1
2024-01-02,Columbus,Boston,1,4,0
2024-01-02,New York,Carolina,1,6,0
2024-01-02,Pittsburgh,Washington,3,4,0
2024-01-02,Dallas,Montréal,3,4,0
2024-01-02,Minnesota,Calgary,1,3,0
2024-01-02,Nashville,Chicago,3,0,1
2024-01-02,Winnipeg,Tampa Bay,4,2,1
2024-01-02,Arizona,Florida,1,4,0
2024-01-02,Colorado,New York,5,4,1
2024-01-02,Edmonton,Philadelphia,5,2,1
2024-01-02,Vancouver,Ottawa,6,3,1
2024-01-02,Los Angeles,Toronto,0,3,0
2024-01-02,San Jose,Detroit,3,5,0
2024-01-03,Washington,New Jersey,3,6,0
